"host_since","host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","latitude","longitude","bathrooms_text","accommodates","price","minimum_nights","availability_365","review_scores_rating","instant_bookable","reviews_per_month","room_typeEntire home/apt","room_typeHotel room","room_typePrivate room","room_typeShared room","neighbourhood_group_cleansedBronx","neighbourhood_group_cleansedBrooklyn","neighbourhood_group_cleansedManhattan","neighbourhood_group_cleansedQueens","neighbourhood_group_cleansedStaten Island","price_log"
2784,4,1,9,1,1,"Brooklyn",40.59997,-73.9563,1,4,45,1,358,4.82,1,2.52,0,0,0,1,0,1,0,0,0,3.80666248977032
3883,0,0,1,1,0,"Manhattan",40.78094,-73.95285,1,2,250,360,0,5,0,0.03,1,0,0,0,0,0,1,0,0,5.52146091786225
3706,3,1,2,1,1,"Queens",40.73591,-73.92603,1,4,125,30,172,4.9,0,2.9,1,0,0,0,0,0,0,1,0,4.8283137373023
2834,0,0,2,1,1,"Manhattan",40.74004,-73.98883,1,3,180,30,0,5,0,0.02,1,0,0,0,0,0,1,0,0,5.19295685089021
3727,3,1,1,1,1,"Brooklyn",40.68252,-73.92404,1,3,144,2,178,4.93,0,3.57,1,0,0,0,0,1,0,0,0,4.969813299576
2782,3,1,1,1,1,"Brooklyn",40.64272,-73.94819,1,4,111,3,20,4.85,0,1.25,1,0,0,0,0,1,0,0,0,4.70953020131233
2782,0,0,1,1,1,"Bronx",40.8534,-73.82815,1,2,150,30,364,0,0,0,0,0,0,1,1,0,0,0,0,5.01063529409626
2782,0,0,1,1,1,"Brooklyn",40.73747,-73.95289,1,2,80,30,0,0,0,0,0,0,1,0,0,1,0,0,0,4.38202663467388
2782,4,1,2,1,1,"Manhattan",40.82352,-73.95245,1.5,2,80,3,49,4.97,1,1.11,0,0,1,0,0,0,1,0,0,4.38202663467388
2881,0,0,1,1,1,"Manhattan",40.75955,-73.98834,1,2,150,30,0,0,0,0.04,0,0,1,0,0,0,1,0,0,5.01063529409626
3628,4,1,3,1,1,"Brooklyn",40.68088,-73.93003,1,4,189,3,202,4.93,1,3.44,1,0,0,0,0,1,0,0,0,5.24174701505964
4286,0,0,1,1,1,"Brooklyn",40.67737,-73.94297,1,3,80,30,0,4.71,0,0.15,1,0,0,0,0,1,0,0,0,4.38202663467388
2959,3,1,1,1,1,"Brooklyn",40.68092,-73.97738,1,4,214,30,283,4.85,0,0.7,1,0,0,0,0,1,0,0,0,5.36597601502185
4221,0,0,1,1,1,"Manhattan",40.72291,-73.98996,1,4,250,30,0,5,0,0.01,1,0,0,0,0,0,1,0,0,5.52146091786225
2781,0,0,1,1,1,"Brooklyn",40.68725,-73.96036,1,2,50,30,0,4,0,0.01,0,0,1,0,0,1,0,0,0,3.91202300542815
2781,0,0,1,1,0,"Manhattan",40.71597,-73.99848,1,1,119,30,112,4.81,0,0.21,1,0,0,0,0,0,1,0,0,4.77912349311153
3152,0,0,1,1,0,"Manhattan",40.85293,-73.93078,1,1,50,30,0,5,0,0.05,0,0,1,0,0,0,1,0,0,3.91202300542815
2781,4,0,0,1,1,"Brooklyn",40.65052,-73.96415,1,2,79,30,0,5,0,0.04,1,0,0,0,0,1,0,0,0,4.36944785246702
2789,3,0,4,1,1,"Manhattan",40.82277,-73.9537,2,2,73,31,0,4.64,1,1.09,0,0,1,0,0,0,1,0,0,4.29045944114839
2781,0,0,1,1,0,"Queens",40.74638,-73.95618,1,1,199,480,0,0,0,0,1,0,0,0,0,0,0,1,0,5.29330482472449
3023,0,0,1,1,1,"Manhattan",40.75144,-73.99523,1,3,160,30,0,3.78,0,0.11,1,0,0,0,0,0,1,0,0,5.07517381523383
2781,4,1,3,1,1,"Staten Island",40.62287,-74.09968,1,5,121,2,333,4.72,0,3.13,1,0,0,0,0,0,0,0,1,4.79579054559674
3259,0,0,1,1,1,"Manhattan",40.80352,-73.96641,1,2,60,30,0,0,0,0.03,0,0,1,0,0,0,1,0,0,4.0943445622221
2779,0,0,1,1,1,"Manhattan",40.82927,-73.94169,1,2,91,30,0,0,0,0,0,0,1,0,0,0,1,0,0,4.51085950651685
2779,0,0,2,1,0,"Manhattan",40.84906,-73.93702,1,2,51,30,0,4.63,0,0.47,0,0,1,0,0,0,1,0,0,3.93182563272433
3446,0,0,1,1,1,"Bronx",40.88635,-73.90974,1,2,65,1,0,4.92,0,2.47,0,0,1,0,1,0,0,0,0,4.17438726989564
3175,3,0,1,1,1,"Manhattan",40.76028,-73.99501,1,3,500,30,295,0,0,0,1,0,0,0,0,0,1,0,0,6.21460809842219
2779,0,0,1,1,1,"Queens",40.7452,-73.89086,1,2,78,30,0,5,0,0.01,1,0,0,0,0,0,0,1,0,4.35670882668959
2779,4,0,0,1,1,"Queens",40.7669475876743,-73.9109816129182,1,4,120,1,180,0,0,0,0,0,1,0,0,0,0,1,0,4.78749174278205
3260,0,0,1,1,1,"Manhattan",40.74686,-73.97629,1,5,500,30,0,5,0,0.01,1,0,0,0,0,0,1,0,0,6.21460809842219
2933,0,0,1,1,1,"Brooklyn",40.66036,-73.98288,1,2,123,60,0,4.94,0,1.76,1,0,0,0,0,1,0,0,0,4.81218435537242
2788,1,0,5,1,1,"Brooklyn",40.62803,-73.92709,2,9,426,16,365,4.4,0,0.07,1,0,0,0,0,1,0,0,0,6.05443934626937
3276,0,0,1,1,1,"Manhattan",40.80391,-73.95326,1,2,150,30,0,5,1,0.27,1,0,0,0,0,0,1,0,0,5.01063529409626
3177,0,0,1,1,1,"Manhattan",40.76921,-73.98923,1,2,79,30,0,4.4,0,0.07,0,0,1,0,0,0,1,0,0,4.36944785246702
4007,0,0,1,1,1,"Manhattan",40.76599,-73.98388,1,2,152,30,0,0,0,0,1,0,0,0,0,0,1,0,0,5.02388052084628
2997,3,1,1,1,1,"Brooklyn",40.68001,-73.94248,1,5,105,30,46,5,0,0.09,1,0,0,0,0,1,0,0,0,4.65396035015752
2778,0,0,1,1,1,"Manhattan",40.72091,-73.97957,1,2,75,30,0,4.67,1,0.06,0,0,1,0,0,0,1,0,0,4.31748811353631
3006,0,0,1,1,0,"Brooklyn",40.69225,-73.92566,1,1,65,30,0,5,0,0.02,0,0,1,0,0,1,0,0,0,4.17438726989564
4014,0,0,1,1,1,"Manhattan",40.74304,-73.99725,1,4,109,30,0,4.8,1,0.15,1,0,0,0,0,0,1,0,0,4.69134788222914
2911,0,0,1,1,0,"Manhattan",40.79754,-73.93494,1,2,110,30,0,5,0,0.01,1,0,0,0,0,0,1,0,0,4.70048036579242
3399,0,0,1,1,1,"Manhattan",40.72501,-73.98998,1,6,300,2,0,5,0,0.01,1,0,0,0,0,0,1,0,0,5.7037824746562
2777,4,0,2,1,1,"Brooklyn",40.64123,-73.88868,1,1,78,28,297,4.88,0,0.27,0,0,1,0,0,1,0,0,0,4.35670882668959
4234,3,1,4,1,1,"Brooklyn",40.65078,-74.004,0,1,39,30,181,4.59,1,0.43,0,0,1,0,0,1,0,0,0,3.66356164612965
3210,0,0,1,1,1,"Brooklyn",40.71599,-73.95514,2,2,250,30,0,0,0,0,0,0,1,0,0,1,0,0,0,5.52146091786225
2783,0,0,1,1,1,"Manhattan",40.77001,-73.98777,1,2,90,2,0,5,0,0.03,0,0,1,0,0,0,1,0,0,4.49980967033027
2921,4,0,0,1,1,"Queens",40.75921,-73.8758,1,2,48,1,62,4.62,0,3.46,0,0,1,0,0,0,0,1,0,3.87120101090789
2777,4,0,0,1,1,"Manhattan",40.8100961860314,-73.943367723265,2,8,474,3,163,4.82,0,0.34,1,0,0,0,0,0,1,0,0,6.16120732169508
2783,0,0,1,1,1,"Brooklyn",40.72611,-73.94326,1,1,45,14,0,5,0,0.16,0,0,1,0,0,1,0,0,0,3.80666248977032
4212,0,0,1,1,1,"Brooklyn",40.71602,-73.94645,1,2,70,30,0,4,0,0.02,0,0,1,0,0,1,0,0,0,4.24849524204936
2777,0,0,1,1,1,"Manhattan",40.77915,-73.97794,1,2,130,30,0,4.33,0,0.04,0,0,1,0,0,0,1,0,0,4.86753445045558
2777,2,0,8,1,1,"Bronx",40.82934,-73.86461,1,1,25,30,34,4.54,1,1.55,0,0,1,0,1,0,0,0,0,3.2188758248682
3860,0,0,1,1,1,"Brooklyn",40.68293,-73.93437,1,1,35,30,0,0,0,0,0,0,1,0,0,1,0,0,0,3.55534806148941
2777,0,0,1,1,0,"Brooklyn",40.67416,-73.93854,1,2,70,30,0,5,0,0.04,0,0,1,0,0,1,0,0,0,4.24849524204936
3616,0,0,1,1,1,"Brooklyn",40.71056,-73.95782,1,4,150,30,0,4.57,0,0.09,1,0,0,0,0,1,0,0,0,5.01063529409626
2777,0,0,2,1,1,"Manhattan",40.84634,-73.93848,1,2,75,2,0,5,0,0.02,0,0,1,0,0,0,1,0,0,4.31748811353631
3015,0,0,3,1,1,"Manhattan",40.72696,-73.98406,1,2,95,30,0,4.5,0,0.02,0,0,1,0,0,0,1,0,0,4.55387689160054
3175,3,0,1,1,1,"Manhattan",40.76027,-73.99374,1,4,550,30,306,4.67,0,0.3,1,0,0,0,0,0,1,0,0,6.30991827822652
3487,0,0,1,1,1,"Manhattan",40.80017,-73.96598,1,2,100,30,0,5,0,0.11,0,0,1,0,0,0,1,0,0,4.60517018598809
3611,0,0,1,1,1,"Manhattan",40.71979,-73.9861,1,2,81,30,0,4.42,0,0.15,0,0,1,0,0,0,1,0,0,4.39444915467244
2776,2,0,4,1,1,"Manhattan",40.73377,-73.98818,1,4,210,2,226,4.33,0,1.98,1,0,0,0,0,0,1,0,0,5.34710753071747
3448,1,0,1,1,1,"Brooklyn",40.69181,-73.9463,1,2,55,30,0,4.5,0,0.22,0,0,1,0,0,1,0,0,0,4.00733318523247
2931,4,1,4,1,1,"Brooklyn",40.67378,-73.95446,1,6,170,3,241,4.64,1,1.11,1,0,0,0,0,1,0,0,0,5.13579843705026
2776,4,1,1,1,1,"Queens",40.73351,-73.71299,1,2,88,1,321,4.74,1,0.84,0,0,1,0,0,0,0,1,0,4.47733681447821
2805,0,0,1,1,1,"Manhattan",40.75698,-73.99766,1,4,235,30,0,4.42,0,0.23,1,0,0,0,0,0,1,0,0,5.45958551414416
3890,0,0,1,1,1,"Brooklyn",40.6942,-73.96879,1,2,120,30,0,0,0,0.01,1,0,0,0,0,1,0,0,0,4.78749174278205
5341,4,0,7,1,1,"Brooklyn",40.64508,-73.97373,1,2,249,30,180,5,0,0.05,0,0,1,0,0,1,0,0,0,5.51745289646471
3210,0,0,1,1,1,"Manhattan",40.72935,-73.98519,1,5,280,30,0,5,0,0.05,1,0,0,0,0,0,1,0,0,5.63478960316925
2776,4,1,0,1,0,"Queens",40.66985,-73.7766,1,2,125,1,71,4.97,0,5.03,1,0,0,0,0,0,0,1,0,4.8283137373023
3219,0,0,1,1,1,"Manhattan",40.75753,-73.99706,2,2,130,30,0,5,0,0.01,0,0,1,0,0,0,1,0,0,4.86753445045558
2775,1,0,2,1,1,"Brooklyn",40.68727,-73.92789,2,2,80,30,37,4.6,0,0.09,1,0,0,0,0,1,0,0,0,4.38202663467388
